2020-04-21 13:24:21.902 [traceId=9969713fb3e5c92b, spanId=14d42b20bfeec79c, spanExportable=true, X-Span-Export=true, X-B3-SpanId=14d42b20bfeec79c, X-B3-ParentSpanId=52a84f1798b75e4a, X-B3-TraceId=9969713fb3e5c92b, parentId=52a84f1798b75e4a]  INFO Shreejaa-PC --- [nio-8585-exec-1] ng.BookService.controller.BookController : Get all books(Book service)
2020-04-21 13:24:39.563 [traceId=29f3d2066cd1a396, spanId=e6eba5c9fa5d75de, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e6eba5c9fa5d75de, X-B3-ParentSpanId=75264fa25dc8ea95, X-B3-TraceId=29f3d2066cd1a396, parentId=75264fa25dc8ea95]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : get book by id(book service)
2020-04-26 20:08:11.269 [traceId=9f149eeb131aefb6, spanId=9f149eeb131aefb6, spanExportable=true, X-Span-Export=true, X-B3-SpanId=9f149eeb131aefb6, X-B3-TraceId=9f149eeb131aefb6]  INFO Shreejaa-PC --- [nio-8585-exec-1] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-05 16:55:10.937 [traceId=378653327aeabcad, spanId=378653327aeabcad, spanExportable=true, X-Span-Export=true, X-B3-SpanId=378653327aeabcad, X-B3-TraceId=378653327aeabcad]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-05 16:57:12.457 [traceId=57d5a0ddb3865e0c, spanId=57d5a0ddb3865e0c, spanExportable=true, X-Span-Export=true, X-B3-SpanId=57d5a0ddb3865e0c, X-B3-TraceId=57d5a0ddb3865e0c]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : save book (book service)
2020-05-08 17:08:04.186 [traceId=36895cb35d645e3a, spanId=36895cb35d645e3a, spanExportable=true, X-Span-Export=true, X-B3-SpanId=36895cb35d645e3a, X-B3-TraceId=36895cb35d645e3a]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-08 17:08:04.186 [traceId=6772cb599f190470, spanId=6772cb599f190470, spanExportable=true, X-Span-Export=true, X-B3-SpanId=6772cb599f190470, X-B3-TraceId=6772cb599f190470]  INFO Shreejaa-PC --- [nio-8585-exec-8] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-08 17:08:07.017 [traceId=141995cc9a736d1a, spanId=141995cc9a736d1a, spanExportable=true, X-Span-Export=true, X-B3-SpanId=141995cc9a736d1a, X-B3-TraceId=141995cc9a736d1a]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : get book by id(book service)
2020-05-08 17:08:07.048 [traceId=0c3b6f135c8d1186, spanId=0c3b6f135c8d1186, spanExportable=true, X-Span-Export=true, X-B3-SpanId=0c3b6f135c8d1186, X-B3-TraceId=0c3b6f135c8d1186]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : get book by id(book service)
2020-05-08 17:21:48.298 [traceId=25fd773340d5057e, spanId=25fd773340d5057e, spanExportable=true, X-Span-Export=true, X-B3-SpanId=25fd773340d5057e, X-B3-TraceId=25fd773340d5057e]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : get book by id(book service)
2020-05-08 17:24:19.562 [traceId=28bbfd949ac00153, spanId=28bbfd949ac00153, spanExportable=true, X-Span-Export=true, X-B3-SpanId=28bbfd949ac00153, X-B3-TraceId=28bbfd949ac00153]  INFO Shreejaa-PC --- [nio-8585-exec-3] ng.BookService.controller.BookController : get book by id(book service)
2020-05-08 17:26:05.457 [traceId=49344455b679ddae, spanId=49344455b679ddae, spanExportable=true, X-Span-Export=true, X-B3-SpanId=49344455b679ddae, X-B3-TraceId=49344455b679ddae]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 14:14:49.583 [traceId=c87304d621f1399e, spanId=c87304d621f1399e, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c87304d621f1399e, X-B3-TraceId=c87304d621f1399e]  INFO Shreejaa-PC --- [nio-8585-exec-5] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 18:42:02.662 [traceId=c2af343fde67241d, spanId=c2af343fde67241d, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c2af343fde67241d, X-B3-TraceId=c2af343fde67241d]  INFO Shreejaa-PC --- [nio-8585-exec-9] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:02:16.324 [traceId=80c3a5f1b3752acd, spanId=80c3a5f1b3752acd, spanExportable=true, X-Span-Export=true, X-B3-SpanId=80c3a5f1b3752acd, X-B3-TraceId=80c3a5f1b3752acd]  INFO Shreejaa-PC --- [nio-8585-exec-1] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:29:46.723 [traceId=b32f1fb370ccb2bb, spanId=b32f1fb370ccb2bb, spanExportable=true, X-Span-Export=true, X-B3-SpanId=b32f1fb370ccb2bb, X-B3-TraceId=b32f1fb370ccb2bb]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:29:47.310 [traceId=dccb8266ab0224cf, spanId=dccb8266ab0224cf, spanExportable=true, X-Span-Export=true, X-B3-SpanId=dccb8266ab0224cf, X-B3-TraceId=dccb8266ab0224cf]  INFO Shreejaa-PC --- [nio-8585-exec-5] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:30:44.985 [traceId=93aae956ce8796b6, spanId=93aae956ce8796b6, spanExportable=true, X-Span-Export=true, X-B3-SpanId=93aae956ce8796b6, X-B3-TraceId=93aae956ce8796b6]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:37:07.392 [traceId=ccb61974f255ebec, spanId=ccb61974f255ebec, spanExportable=true, X-Span-Export=true, X-B3-SpanId=ccb61974f255ebec, X-B3-TraceId=ccb61974f255ebec]  INFO Shreejaa-PC --- [nio-8585-exec-9] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:37:07.499 [traceId=5663f61f2c81d75a, spanId=5663f61f2c81d75a, spanExportable=true, X-Span-Export=true, X-B3-SpanId=5663f61f2c81d75a, X-B3-TraceId=5663f61f2c81d75a]  INFO Shreejaa-PC --- [io-8585-exec-10] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:37:36.270 [traceId=5635d11997248139, spanId=5635d11997248139, spanExportable=true, X-Span-Export=true, X-B3-SpanId=5635d11997248139, X-B3-TraceId=5635d11997248139]  INFO Shreejaa-PC --- [nio-8585-exec-1] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:37:36.305 [traceId=c79d13db2de11707, spanId=c79d13db2de11707, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c79d13db2de11707, X-B3-TraceId=c79d13db2de11707]  INFO Shreejaa-PC --- [nio-8585-exec-3] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:38:06.381 [traceId=ca562c3743949fe1, spanId=ca562c3743949fe1, spanExportable=true, X-Span-Export=true, X-B3-SpanId=ca562c3743949fe1, X-B3-TraceId=ca562c3743949fe1]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:38:06.503 [traceId=60272370b19ee85f, spanId=60272370b19ee85f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=60272370b19ee85f, X-B3-TraceId=60272370b19ee85f]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:29.931 [traceId=92a17f2bbc63d659, spanId=92a17f2bbc63d659, spanExportable=true, X-Span-Export=true, X-B3-SpanId=92a17f2bbc63d659, X-B3-TraceId=92a17f2bbc63d659]  INFO Shreejaa-PC --- [nio-8585-exec-5] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:30.208 [traceId=f34e1c1ce3daa2b9, spanId=f34e1c1ce3daa2b9, spanExportable=true, X-Span-Export=true, X-B3-SpanId=f34e1c1ce3daa2b9, X-B3-TraceId=f34e1c1ce3daa2b9]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:37.393 [traceId=00ebe8e86df8fc6d, spanId=00ebe8e86df8fc6d, spanExportable=true, X-Span-Export=true, X-B3-SpanId=00ebe8e86df8fc6d, X-B3-TraceId=00ebe8e86df8fc6d]  INFO Shreejaa-PC --- [nio-8585-exec-7] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:37.648 [traceId=4e3149b45e56f4df, spanId=4e3149b45e56f4df, spanExportable=true, X-Span-Export=true, X-B3-SpanId=4e3149b45e56f4df, X-B3-TraceId=4e3149b45e56f4df]  INFO Shreejaa-PC --- [nio-8585-exec-8] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:44.410 [traceId=e35bf9cbd8e61a5b, spanId=e35bf9cbd8e61a5b, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e35bf9cbd8e61a5b, X-B3-TraceId=e35bf9cbd8e61a5b]  INFO Shreejaa-PC --- [nio-8585-exec-9] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:40:44.555 [traceId=066d59f18a3d63bc, spanId=066d59f18a3d63bc, spanExportable=true, X-Span-Export=true, X-B3-SpanId=066d59f18a3d63bc, X-B3-TraceId=066d59f18a3d63bc]  INFO Shreejaa-PC --- [io-8585-exec-10] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:42:29.420 [traceId=4d9ad5c1cdef8357, spanId=4d9ad5c1cdef8357, spanExportable=true, X-Span-Export=true, X-B3-SpanId=4d9ad5c1cdef8357, X-B3-TraceId=4d9ad5c1cdef8357]  INFO Shreejaa-PC --- [nio-8585-exec-3] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:42:29.532 [traceId=e8891facb80e3638, spanId=e8891facb80e3638, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e8891facb80e3638, X-B3-TraceId=e8891facb80e3638]  INFO Shreejaa-PC --- [nio-8585-exec-2] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:44:23.573 [traceId=1beb737e1cf2b470, spanId=1beb737e1cf2b470, spanExportable=true, X-Span-Export=true, X-B3-SpanId=1beb737e1cf2b470, X-B3-TraceId=1beb737e1cf2b470]  INFO Shreejaa-PC --- [nio-8585-exec-8] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:44:23.704 [traceId=d61a7a0ffec5ffdb, spanId=d61a7a0ffec5ffdb, spanExportable=true, X-Span-Export=true, X-B3-SpanId=d61a7a0ffec5ffdb, X-B3-TraceId=d61a7a0ffec5ffdb]  INFO Shreejaa-PC --- [nio-8585-exec-9] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 22:57:52.015 [traceId=915ae6a9b3e4972d, spanId=915ae6a9b3e4972d, spanExportable=true, X-Span-Export=true, X-B3-SpanId=915ae6a9b3e4972d, X-B3-TraceId=915ae6a9b3e4972d]  INFO Shreejaa-PC --- [nio-8585-exec-3] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:04:45.990 [traceId=8689ae64714d0c6f, spanId=8689ae64714d0c6f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=8689ae64714d0c6f, X-B3-TraceId=8689ae64714d0c6f]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:09:13.786 [traceId=80ba554883a6a05f, spanId=80ba554883a6a05f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=80ba554883a6a05f, X-B3-TraceId=80ba554883a6a05f]  INFO Shreejaa-PC --- [nio-8585-exec-8] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:15:47.312 [traceId=e47365ddd4ee02d1, spanId=e47365ddd4ee02d1, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e47365ddd4ee02d1, X-B3-TraceId=e47365ddd4ee02d1]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:16:12.126 [traceId=01fccbd2625ebf1e, spanId=01fccbd2625ebf1e, spanExportable=true, X-Span-Export=true, X-B3-SpanId=01fccbd2625ebf1e, X-B3-TraceId=01fccbd2625ebf1e]  INFO Shreejaa-PC --- [nio-8585-exec-5] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:16:32.733 [traceId=28e47361f59ab89b, spanId=28e47361f59ab89b, spanExportable=true, X-Span-Export=true, X-B3-SpanId=28e47361f59ab89b, X-B3-TraceId=28e47361f59ab89b]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:18:22.839 [traceId=d3506daeeb741d06, spanId=d3506daeeb741d06, spanExportable=true, X-Span-Export=true, X-B3-SpanId=d3506daeeb741d06, X-B3-TraceId=d3506daeeb741d06]  INFO Shreejaa-PC --- [nio-8585-exec-8] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:18:27.374 [traceId=e7498320b48709b2, spanId=e7498320b48709b2, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e7498320b48709b2, X-B3-TraceId=e7498320b48709b2]  INFO Shreejaa-PC --- [nio-8585-exec-9] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:18:31.092 [traceId=34f4f662cb5db2db, spanId=34f4f662cb5db2db, spanExportable=true, X-Span-Export=true, X-B3-SpanId=34f4f662cb5db2db, X-B3-TraceId=34f4f662cb5db2db]  INFO Shreejaa-PC --- [io-8585-exec-10] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:19:41.648 [traceId=abc18b52d2989c88, spanId=abc18b52d2989c88, spanExportable=true, X-Span-Export=true, X-B3-SpanId=abc18b52d2989c88, X-B3-TraceId=abc18b52d2989c88]  INFO Shreejaa-PC --- [nio-8585-exec-4] ng.BookService.controller.BookController : Get all books(Book service)
2020-05-11 23:19:46.220 [traceId=a7243acbb8e0ff38, spanId=a7243acbb8e0ff38, spanExportable=true, X-Span-Export=true, X-B3-SpanId=a7243acbb8e0ff38, X-B3-TraceId=a7243acbb8e0ff38]  INFO Shreejaa-PC --- [nio-8585-exec-6] ng.BookService.controller.BookController : Get all books(Book service)
